Date,Extension,Number of Files Created,File Size in B,File Size in KB,File Size in MB,File Type,File Format,,,,,
11/11/2009,.CATPart,8,8606035,8606.035,8.606,CAD File (2d or 3d),CATIA V5 Part file,,,,,
11/11/2009,.igs,1,84402,84.402,0.084,CAD File (2d or 3d),Initial Graphics Exchange Specification (IGES),,,,,
11/11/2009,.jpg,21,19870175,19870.175,19.87,Image,JPEG File Interchange Format,,,,,
11/11/2009,.log,13,7355,7.355,0.007,Text Document,Log File,,,,,
11/11/2009,.dgn,2,159744,159.744,0.16,CAD File (2d or 3d),Microstation Design File,,,,,
11/11/2009,.bcnv,1,10533,10.533,0.011,CAD File (2d or 3d),MicroStation V8 Batch Conversion File,,,,,
11/11/2009,.stp,14,1398530,1398.53,1.399,CAD File (2d or 3d),Standard for the Exchange of Product model data,,,,,
11/12/2009,.jpg,3,2607289,2607.289,2.607,Image,JPEG File Interchange Format,,,,,
11/12/2009,.bcnv,1,27892,27.892,0.028,CAD File (2d or 3d),MicroStation V8 Batch Conversion File,,,,,
11/12/2009,.pdf,1,324151,324.151,0.324,PDF,Portable Document Format (PDF),,,,,
11/13/2009,.dwg,1,1316096,1316.096,1.316,CAD File (2d or 3d),AutoCAD Drawing,,,,,
11/13/2009,.CATProduct,1,21025,21.025,0.021,CAD File (2d or 3d),CATIA V5 Assembly file,,,,,
11/13/2009,.CATPart,6,5573586,5573.586,5.574,CAD File (2d or 3d),CATIA V5 Part file,,,,,
11/13/2009,.jpg,1,893278,893.278,0.893,Image,JPEG File Interchange Format,,,,,
11/13/2009,.dgn,1,51712,51.712,0.052,CAD File (2d or 3d),Microstation Design File,,,,,
11/13/2009,.pdf,2,1482357,1482.357,1.482,PDF,Portable Document Format (PDF),,,,,
11/13/2009,.stp,4,2229158,2229.158,2.229,CAD File (2d or 3d),Standard for the Exchange of Product model data,,,,,
11/13/2009,.zip,1,18742,18.742,0.019,Packaged Files,ZIP Format,,,,,
11/16/2009,.CATPart,1,1741436,1741.436,1.741,CAD File (2d or 3d),CATIA V5 Part file,,,,,
